Elevation,Land_cover_forests,Land_cover_shrublands,Land_cover_savannas,Land_cover_grasslands,Land_cover_croplands,Land_cover_urban_areas,Temperature_interpolated_rasters,Precipitation_interpolated_rasters
130.589996337891,46,0,0,0,2,52,-0.328723073005676,581.932556152344
41.1100006103516,4,0,0,21,0,73,0.829163432121277,513.736572265625
NA,NA,NA,NA,NA,NA,NA,NA,NA
49.9199981689453,21,0,0,1,1,66,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
41.1100006103516,4,0,0,21,0,73,0.867926418781281,514.815795898438
41.1100006103516,4,0,0,21,0,73,0.829163432121277,513.736572265625
41.1100006103516,4,0,0,21,0,73,0.876866817474365,515.065551757812
41.1100006103516,4,0,0,21,0,73,0.858686864376068,514.558227539062
49.4700012207031,14,0,0,3,0,83,10.7333421707153,828.173461914062
34,1,0,0,2,0,97,0.977556765079498,515.201477050781
9.69999980926514,1,0,0,9,0,53,1.2538435459137,511.028869628906
9.69999980926514,1,0,0,9,0,53,1.2538435459137,511.028869628906
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
9.69999980926514,1,0,0,9,0,53,1.23164355754852,511.830718994141
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
56.5200004577637,0,0,0,0,1,99,12.458776473999,152.87467956543
56.5200004577637,0,0,0,0,1,99,16.2445259094238,1046.72314453125
49.4700012207031,14,0,0,3,0,83,6.06529760360718,982.524841308594
56.5200004577637,0,0,0,0,1,99,21.8478374481201,1117.384765625
54.8199996948242,8,0,0,20,0,71,20.8405227661133,1265.99780273438
NA,NA,NA,NA,NA,NA,NA,NA,NA
3.21000003814697,11,0,0,6,0,56,NA,NA
14.1000003814697,6,1,0,4,0,87,1.08419907093048,508.379180908203
9.69999980926514,1,0,0,9,0,53,NA,NA
3.78999996185303,15,0,0,12,41,0,11.0105991363525,658.151977539062
29.2299995422363,16,0,0,0,36,46,9.69875049591064,1277.24914550781
104.190002441406,4,0,0,0,12,84,7.0716028213501,455.209442138672
110.269996643066,19,0,0,0,9,72,0.0984489247202873,839.492126464844
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
6.07000017166138,26,0,0,2,27,1,NA,NA
49.4700012207031,14,0,0,3,0,83,0.464993745088577,516.155334472656
54.8199996948242,8,0,0,20,0,71,0.636230826377869,521.972595214844
34,1,0,0,2,0,97,0.817446768283844,517.952880859375
56.5200004577637,0,0,0,0,1,99,11.0953273773193,511.629089355469
44.7999992370605,13,0,0,43,0,43,0.663483798503876,632.156005859375
16.3199996948242,4,0,0,0,3,93,7.51975584030151,889.481018066406
48.8899993896484,20,0,0,0,48,32,16.7467422485352,1046.04614257812
45.4199981689453,22,0,0,0,21,57,16.6928939819336,1070.11901855469
101.629997253418,16,0,0,2,71,11,5.5128002166748,728.794677734375
80.9499969482422,58,0,0,0,39,3,16.5058135986328,1152.47119140625
101.629997253418,16,0,0,2,71,11,0.508115708827972,982.722229003906
223.020004272461,95,0,0,0,5,0,0.472629219293594,984.68798828125
65.9300003051758,10,0,0,0,8,82,22.6486129760742,619.650268554688
100.900001525879,0,0,0,0,0,100,18.0828838348389,1055.57287597656
18.6299991607666,0,0,0,0,0,100,13.1479158401489,128.676010131836
3.21000003814697,11,0,0,6,0,56,13.2310266494751,119.698303222656
3.21000003814697,11,0,0,6,0,56,7.1867527961731,1047.72338867188
2.86999988555908,10,0,0,0,0,61,7.17653226852417,1032.89916992188
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
6.98000001907349,6,0,0,1,0,62,3.44154143333435,587.074645996094
NA,NA,NA,NA,NA,NA,NA,NA,NA
63.8800010681152,18,0,0,0,0,82,12.5472927093506,240.297012329102
41.1100006103516,4,0,0,21,0,73,0.732469499111176,813.855041503906
49.4700012207031,14,0,0,3,0,83,0.333232045173645,517.909973144531
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,-1.32124185562134,1008.13507080078
16.6900005340576,4,0,0,2,2,55,NA,NA
NA,NA,NA,NA,NA,NA,NA,-1.34647238254547,1010.84802246094
NA,NA,NA,NA,NA,NA,NA,NA,NA
44.7999992370605,13,0,0,43,0,43,20.5894222259521,1342.27746582031
48,17,0,0,0,0,83,20.3719177246094,1403.27075195312
54.8199996948242,8,0,0,20,0,71,18.1015701293945,1152.70153808594
44.7999992370605,13,0,0,43,0,43,17.7677307128906,1127.73046875
48,17,0,0,0,0,83,17.7787494659424,1108.16967773438
87.9499969482422,22,0,0,0,23,55,2.93824005126953,257.935699462891
148.220001220703,1,0,0,0,0,99,11.859619140625,198.858779907227
130.589996337891,46,0,0,0,2,52,10.9352407455444,1491.00158691406
15.3999996185303,7,0,0,5,0,53,NA,NA
81.4300003051758,1,0,0,0,0,99,5.61158275604248,933.620971679688
153.889999389648,83,0,0,0,1,16,19.504903793335,1440.46618652344
498.160003662109,49,0,0,0,51,0,-1.5364443063736,984.847229003906
609.789978027344,67,0,0,0,33,0,18.0507926940918,2915.81103515625
441.869995117188,0,0,0,0,100,0,-7.78774118423462,168.05859375
382.950012207031,63,0,0,0,37,0,16.1850318908691,848.229919433594
63.8800010681152,18,0,0,0,0,82,0.694984257221222,1068.84350585938
40.1199989318848,25,0,0,52,2,20,4.60311222076416,216.378555297852
24.6299991607666,1,0,0,9,4,57,NA,NA
214.300003051758,33,0,0,0,67,0,-1.72468054294586,1380.50500488281
270.709991455078,20,0,0,0,80,0,20.1160087585449,1207.67492675781
24.6299991607666,1,0,0,9,4,57,NA,NA
